artist,album,track,id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence
Travis Scott,Know No Better (Remixes),Know No Better - Bad Bunny Remix,4Q7OnsZG4FXrGDCpw6dQXt,0.815,0.113,118.951,0.0896,0.26,1.18e-05,4,0.794,7,217815,-3.968,0.601
Travis Scott,Know No Better (Remixes),Know No Better - Afrojack Remix,4MPtSMvGCFk7aYJJcZVbJs,0.958,0.418,126.012,0.0564,0.0123,0.000398,4,0.698,0,250741,-4.414,0.631
Travis Scott,Know No Better (Remixes),Know No Better - Doobious Remix,7sddbxrsmO9zX7rtzB139E,0.847,0.132,139.971,0.0822,0.302,1.23e-05,4,0.651,7,195429,-4.214,0.37
Travis Scott,Know No Better (Remixes),Know No Better - SLANDER Remix,5ENvJDpQBzuORI0flAWgoZ,0.593,0.0679,180.223,0.162,0.02,3.31e-05,4,0.517,5,238592,-8.065,0.151
Travis Scott,Know No Better (Remixes),Know No Better - Laibert Remix,4l0jdMkmnsAruaz14piQN8,0.743,0.294,123.984,0.0305,0.00589,0.0923,4,0.694,7,224723,-8.275,0.383
Travis Scott,Know No Better (Remixes),Know No Better - DJ Zinc Remix,4grahew1dXYZ6vDiJkcv7G,0.893,0.0521,127.006,0.0392,0.000453,0.18,4,0.713,11,272581,-6.253,0.763
Travis Scott,Know No Better (Remixes),Know No Better - La Fuente Remix,4HKa1KfYij1e5ziz7Qdkbo,0.81,0.0909,125.983,0.0651,0.025,0.0647,4,0.831,7,241276,-5.957,0.34
Travis Scott,Know No Better (Remixes),Know No Better - BROHUG Remix,0DFybsDWkA6Zd4OZwLUTVQ,0.961,0.167,125.019,0.116,0.00169,0.00361,4,0.766,2,223200,-1.775,0.526
Travis Scott,Know No Better (Remixes),Know No Better - SUPER CRUEL Remix,1NjoeL6bh0JWiESu57rcEX,0.862,0.148,119.023,0.0488,0.00919,1.89e-06,4,0.618,7,219266,-4.184,0.512
Travis Scott,Know No Better,Know No Better,6BKeNWeUqxmvQ09Gxd3ZGX,0.814,0.126,119.041,0.0999,0.132,9.64e-06,4,0.738,7,225850,-4.414,0.483
Travis Scott,Know No Better (feat. Quavo),"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)",5cxf8YcDttPsgZb8zt120n,0.814,0.126,119.041,0.0999,0.132,9.64e-06,4,0.738,7,225850,-4.414,0.483
Travis Scott,Fish N Grits (feat. Travis Scott),Fish N Grits (feat. Travis Scott),1Udn6iwy5SH5siTpzduvQB,0.54,0.11,135.05,0.151,0.0344,0.0,4,0.894,4,177827,-6.766,0.24
Travis Scott,Go Off,Go Off,0tr3gBX6XVIVzzOplX5Zbk,0.785,0.259,88.511,0.0772,0.0229,0.0,4,0.734,8,217560,-2.819,0.726
Travis Scott,pick up the phone,pick up the phone,4GXl8l1MfZPf2GvpyRPJBf,0.716,0.316,136.904,0.0768,0.115,0.0,4,0.706,7,252263,-4.263,0.459
Travis Scott,Whole Lotta Lovin' (With You Remix),Whole Lotta Lovin' - With You Remix,08GSP3de4vNyAkPkJirmhi,0.714,0.57,126.033,0.049,0.0788,0.0006,4,0.771,4,290027,-6.457,0.505
Travis Scott,Whole Lotta Lovin' (Grandtheft Remix),Whole Lotta Lovin' - Grandtheft Remix,2aZg0to4VSRb3CXFdcPAMp,0.76,0.0824,126.035,0.0847,0.0896,0.0991,4,0.833,2,222520,-6.22,0.532
Travis Scott,Whole Lotta Lovin' (Grandtheft Remix),Whole Lotta Lovin' - Grandtheft Radio Edit Remix,2p6EGiqzRjhsprFXwFExI5,0.671,0.0809,126.042,0.0981,0.0594,0.0766,4,0.825,11,188973,-6.215,0.406
Travis Scott,Whole Lotta Lovin' (Grandtheft Remix),Whole Lotta Lovin' - Grandtheft Remix,3ypseB82bDUiUAnL5R4yGF,0.774,0.067,126.042,0.0878,0.107,0.116,4,0.835,2,222173,-6.236,0.47
